"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "54", "18:47:43", "192.320", "1:43.964"
 "2", "5", "Fernando Alonso", "Ferrari", "53", "18:45:54", "192.087", "1:44.090"
 "3", "9", "Kimi Räikkönen", "Lotus-Renault", "50", "18:40:39", "191.410", "1:44.458"
 "4", "3", "Jenson Button", "McLaren-Mercedes", "50", "18:40:45", "191.273", "1:44.533"
 "5", "18", "Pastor Maldonado", "Williams-Renault", "55", "18:49:36", "190.726", "1:44.833"
 "6", "7", "Michael Schumacher", "Mercedes", "51", "18:42:48", "190.015", "1:45.225"
 "7", "15", "Sergio Perez", "Sauber-Ferrari", "54", "18:48:31", "189.682", "1:45.410"
 "8", "14", "Kamui Kobayashi", "Sauber-Ferrari", "55", "18:49:43", "189.658", "1:45.423"
 "9", "11", "Paul di Resta", "Force India-Mercedes", "53", "18:46:15", "189.310", "1:45.617"
 "10", "19", "Bruno Senna", "Williams-Renault", "49", "18:39:11", "189.174", "1:45.693"
 "11", "6", "Felipe Massa", "Ferrari", "53", "18:46:14", "189.161", "1:45.700"
 "12", "16", "Daniel Ricciardo", "STR-Ferrari", "53", "18:46:18", "188.799", "1:45.903"
 "13", "17", "Jean-Eric Vergne", "STR-Ferrari", "53", "18:46:25", "188.425", "1:46.113"
 "14", "2", "Mark Webber", "Red Bull Racing-Renault", "32", "18:06:27", "186.935", "1:46.959"
 "15", "20", "Heikki Kovalainen", "Caterham-Renault", "51", "18:43:00", "186.662", "1:47.115"
 "16", "4", "Lewis Hamilton", "McLaren-Mercedes", "19", "17:42:26", "186.400", "1:47.266"
 "17", "10", "Romain Grosjean", "Lotus-Renault", "36", "18:13:35", "185.958", "1:47.521"
 "18", "24", "Timo Glock", "Marussia-Cosworth", "54", "18:48:31", "185.716", "1:47.661"
 "19", "21", "Vitaly Petrov", "Caterham-Renault", "50", "18:41:22", "184.606", "1:48.308"
 "20", "22", "Pedro de la Rosa", "HRT-Cosworth", "47", "18:36:00", "184.078", "1:48.619"
 "21", "25", "Charles Pic", "Marussia-Cosworth", "33", "18:09:06", "183.302", "1:49.079"
 "22", "8", "Nico Rosberg", "Mercedes", "4", "17:11:22", "182.864", "1:49.340"
 "23", "23", "Narain Karthikeyan", "HRT-Cosworth", "6", "17:14:58", "178.142", "1:52.238"
