"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "19", "Bruno Senna", "Williams-Renault", "43", "15:32:15", "223.488", "1:52.822"
 "2", "8", "Nico Rosberg", "Mercedes", "39", "15:24:32", "222.992", "1:53.073"
 "3", "6", "Felipe Massa", "Ferrari", "30", "15:06:46", "222.223", "1:53.464"
 "4", "7", "Michael Schumacher", "Mercedes", "37", "15:20:20", "222.139", "1:53.507"
 "5", "9", "Kimi Räikkönen", "Lotus-Renault", "34", "15:14:18", "221.879", "1:53.640"
 "6", "12", "Nico Hulkenberg", "Force India-Mercedes", "40", "15:25:48", "221.645", "1:53.760"
 "7", "2", "Mark Webber", "Red Bull Racing-Renault", "42", "15:29:39", "221.629", "1:53.768"
 "8", "17", "Jean-Eric Vergne", "STR-Ferrari", "31", "15:08:54", "221.188", "1:53.995"
 "9", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "39", "15:23:35", "220.795", "1:54.198"
 "10", "3", "Jenson Button", "McLaren-Mercedes", "40", "15:25:17", "220.611", "1:54.293"
 "11", "11", "Paul di Resta", "Force India-Mercedes", "28", "15:03:12", "220.093", "1:54.562"
 "12", "16", "Daniel Ricciardo", "STR-Ferrari", "42", "15:30:09", "220.011", "1:54.605"
 "13", "14", "Kamui Kobayashi", "Sauber-Ferrari", "26", "14:59:36", "218.121", "1:55.598"
 "14", "20", "Heikki Kovalainen", "Caterham-Renault", "33", "15:14:27", "216.479", "1:56.475"
 "15", "21", "Vitaly Petrov", "Caterham-Renault", "28", "15:04:02", "215.985", "1:56.741"
 "16", "24", "Timo Glock", "Marussia-Cosworth", "30", "15:08:12", "215.588", "1:56.956"
 "17", "22", "Pedro de la Rosa", "HRT-Cosworth", "30", "15:08:27", "214.929", "1:57.315"
 "18", "25", "Charles Pic", "Marussia-Cosworth", "27", "15:02:10", "213.791", "1:57.939"
 "19", "23", "Narain Karthikeyan", "HRT-Cosworth", "16", "14:40:13", "211.684", "1:59.113"
 "20", "18", "Pastor Maldonado", "Williams-Renault", "4", "14:15:37", "143.116", "2:56.181"
