"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "4", "Lewis Hamilton", "McLaren-Mercedes", "38", "15:00:11", "198.701", "1:18.069"
 "2", "3", "Jenson Button", "McLaren-Mercedes", "37", "14:58:55", "198.601", "1:18.108"
 "3", "12", "Nico Hulkenberg", "Force India-Mercedes", "38", "15:00:09", "198.342", "1:18.210"
 "4", "5", "Fernando Alonso", "Ferrari", "36", "14:57:38", "197.301", "1:18.623"
 "5", "6", "Felipe Massa", "Ferrari", "37", "14:59:00", "196.660", "1:18.879"
 "6", "2", "Mark Webber", "Red Bull Racing-Renault", "39", "15:01:44", "196.600", "1:18.903"
 "7", "14", "Kamui Kobayashi", "Sauber-Ferrari", "35", "14:56:22", "196.426", "1:18.973"
 "8", "17", "Jean-Eric Vergne", "STR-Ferrari", "39", "15:02:10", "196.401", "1:18.983"
 "9", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "36", "14:57:42", "196.136", "1:19.090"
 "10", "20", "Heikki Kovalainen", "Caterham-Renault", "39", "15:02:16", "195.725", "1:19.256"
 "11", "16", "Daniel Ricciardo", "STR-Ferrari", "36", "14:57:44", "195.596", "1:19.308"
 "12", "11", "Paul di Resta", "Force India-Mercedes", "39", "15:01:51", "195.582", "1:19.314"
 "13", "9", "Kimi Räikkönen", "Lotus-Renault", "34", "14:55:07", "195.262", "1:19.444"
 "14", "24", "Timo Glock", "Marussia-Cosworth", "34", "14:55:38", "194.669", "1:19.686"
 "15", "7", "Michael Schumacher", "Mercedes", "37", "14:59:08", "193.522", "1:20.158"
 "16", "8", "Nico Rosberg", "Mercedes", "38", "15:00:37", "193.262", "1:20.266"
 "17", "25", "Charles Pic", "Marussia-Cosworth", "36", "14:57:53", "193.156", "1:20.310"
 "18", "21", "Vitaly Petrov", "Caterham-Renault", "39", "15:01:54", "192.633", "1:20.528"
 "19", "22", "Pedro de la Rosa", "HRT-Cosworth", "37", "14:59:18", "191.310", "1:21.085"
 "20", "23", "Narain Karthikeyan", "HRT-Cosworth", "40", "15:03:27", "190.233", "1:21.544"
 "21", "10", "Romain Grosjean", "Lotus-Renault", "2", "14:05:59", "188.752", "1:22.184"
 
