"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "70", "15:35:45", "207.249", "1:15.752"
 "2", "6", "Felipe Massa", "Ferrari", "69", "15:34:47", "206.080", "1:16.182"
 "3", "15", "Sergio Perez", "Sauber-Ferrari", "67", "15:31:53", "205.454", "1:16.414"
 "4", "16", "Daniel Ricciardo", "STR-Ferrari", "70", "15:36:43", "204.931", "1:16.609"
 "5", "9", "Kimi Räikkönen", "Lotus-Renault", "70", "15:35:54", "204.517", "1:16.764"
 "6", "4", "Lewis Hamilton", "McLaren-Mercedes", "59", "15:21:20", "203.837", "1:17.020"
 "7", "8", "Nico Rosberg", "Mercedes", "67", "15:32:00", "203.732", "1:17.060"
 "8", "2", "Mark Webber", "Red Bull Racing-Renault", "62", "15:25:34", "203.544", "1:17.131"
 "9", "12", "Nico Hulkenberg", "Force India-Mercedes", "62", "15:25:58", "203.357", "1:17.202"
 "10", "11", "Paul di Resta", "Force India-Mercedes", "63", "15:27:12", "203.312", "1:17.219"
 "11", "10", "Romain Grosjean", "Lotus-Renault", "57", "15:18:50", "203.194", "1:17.264"
 "12", "14", "Kamui Kobayashi", "Sauber-Ferrari", "61", "15:24:19", "202.669", "1:17.464"
 "13", "18", "Pastor Maldonado", "Williams-Renault", "67", "15:32:31", "202.604", "1:17.489"
 "14", "19", "Bruno Senna", "Williams-Renault", "67", "15:33:24", "201.750", "1:17.817"
 "15", "5", "Fernando Alonso", "Ferrari", "42", "14:59:03", "201.742", "1:17.820"
 "16", "3", "Jenson Button", "McLaren-Mercedes", "63", "15:28:00", "201.682", "1:17.843"
 "17", "17", "Jean-Eric Vergne", "STR-Ferrari", "55", "15:17:26", "201.600", "1:17.875"
 "18", "21", "Vitaly Petrov", "Caterham-Renault", "58", "15:21:50", "201.037", "1:18.093"
 "19", "20", "Heikki Kovalainen", "Caterham-Renault", "62", "15:27:02", "200.947", "1:18.128"
 "20", "7", "Michael Schumacher", "Mercedes", "37", "14:53:04", "200.165", "1:18.433"
 "21", "25", "Charles Pic", "Marussia-Cosworth", "63", "15:30:14", "194.706", "1:20.632"
 "22", "24", "Timo Glock", "Marussia-Cosworth", "47", "15:08:34", "193.745", "1:21.032"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "23", "14:34:56", "192.550", "1:21.535"
 "24", "23", "Narain Karthikeyan", "HRT-Cosworth", "12", "14:20:01", "191.355", "1:22.044"
