"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "14", "Kamui Kobayashi", "Sauber-Ferrari", "40", "16:13:42", "196.314", "1:39.960"
 "2", "17", "Jean-Eric Vergne", "STR-Ferrari", "48", "16:27:34", "196.198", "1:40.019"
 "3", "3", "Jenson Button", "McLaren-Mercedes", "56", "16:40:30", "195.411", "1:40.422"
 "4", "18", "Pastor Maldonado", "Williams-Renault", "36", "16:06:46", "195.294", "1:40.482"
 "5", "2", "Mark Webber", "Red Bull Racing-Renault", "52", "16:33:51", "195.279", "1:40.490"
 "6", "4", "Lewis Hamilton", "McLaren-Mercedes", "40", "16:13:31", "195.201", "1:40.530"
 "7", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "33", "16:01:30", "195.063", "1:40.601"
 "8", "8", "Nico Rosberg", "Mercedes", "40", "16:13:05", "194.356", "1:40.967"
 "9", "12", "Nico Hulkenberg", "Force India-Mercedes", "48", "16:27:23", "194.337", "1:40.977"
 "10", "15", "Sergio Perez", "Sauber-Ferrari", "37", "16:08:29", "194.156", "1:41.071"
 "11", "10", "Romain Grosjean", "Lotus-Renault", "35", "16:04:55", "194.062", "1:41.120"
 "12", "5", "Fernando Alonso", "Ferrari", "41", "16:15:13", "194.001", "1:41.152"
 "13", "20", "Heikki Kovalainen", "Caterham-Renault", "53", "16:41:21", "193.928", "1:41.190"
 "14", "6", "Felipe Massa", "Ferrari", "48", "16:27:17", "193.832", "1:41.240"
 "15", "16", "Daniel Ricciardo", "STR-Ferrari", "40", "16:14:03", "193.811", "1:41.251"
 "16", "19", "Bruno Senna", "Williams-Renault", "37", "16:08:23", "193.731", "1:41.293"
 "17", "11", "Paul di Resta", "Force India-Mercedes", "40", "16:13:37", "193.339", "1:41.498"
 "18", "9", "Kimi Räikkönen", "Lotus-Renault", "43", "16:18:32", "192.777", "1:41.794"
 "19", "21", "Vitaly Petrov", "Caterham-Renault", "38", "16:10:55", "191.664", "1:42.385"
 "20", "25", "Charles Pic", "Marussia-Cosworth", "39", "16:13:14", "191.224", "1:42.621"
 "21", "24", "Timo Glock", "Marussia-Cosworth", "41", "16:16:36", "190.987", "1:42.748"
 "22", "22", "Pedro de la Rosa", "HRT-Cosworth", "54", "16:40:02", "189.398", "1:43.610"
 "23", "23", "Narain Karthikeyan", "HRT-Cosworth", "40", "16:16:15", "188.806", "1:43.935"
 "24", "7", "Michael Schumacher", "Mercedes", "9", "15:19:23", "188.490", "1:44.109"
