"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "8", "Nico Rosberg", "Mercedes", "54", "15:42:44", "190.953", "1:42.163"
 "2", "2", "Mark Webber", "Red Bull Racing-Renault", "40", "15:18:20", "189.923", "1:42.717"
 "3", "7", "Michael Schumacher", "Mercedes", "43", "15:23:30", "189.220", "1:43.099"
 "4", "15", "Sergio Perez", "Sauber-Ferrari", "43", "15:23:19", "188.439", "1:43.526"
 "5", "5", "Fernando Alonso", "Ferrari", "40", "15:17:51", "188.185", "1:43.666"
 "6", "16", "Daniel Ricciardo", "STR-Ferrari", "44", "15:25:19", "188.170", "1:43.674"
 "7", "9", "Kimi Räikkönen", "Lotus-Renault", "43", "15:23:08", "188.148", "1:43.686"
 "8", "10", "Romain Grosjean", "Lotus-Renault", "38", "15:14:24", "188.007", "1:43.764"
 "9", "4", "Lewis Hamilton", "McLaren-Mercedes", "43", "15:23:07", "187.568", "1:44.007"
 "10", "18", "Pastor Maldonado", "Williams-Renault", "43", "15:23:13", "187.465", "1:44.064"
 "11", "11", "Paul di Resta", "Force India-Mercedes", "45", "15:26:46", "187.398", "1:44.101"
 "12", "19", "Bruno Senna", "Williams-Renault", "44", "15:25:28", "187.380", "1:44.111"
 "13", "12", "Nico Hulkenberg", "Force India-Mercedes", "40", "15:18:02", "187.174", "1:44.226"
 "14", "21", "Vitaly Petrov", "Caterham-Renault", "54", "15:43:36", "187.125", "1:44.253"
 "15", "6", "Felipe Massa", "Ferrari", "36", "15:11:58", "186.806", "1:44.431"
 "16", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "18", "14:35:25", "186.585", "1:44.555"
 "17", "3", "Jenson Button", "McLaren-Mercedes", "48", "15:32:07", "186.138", "1:44.806"
 "18", "14", "Kamui Kobayashi", "Sauber-Ferrari", "22", "14:43:27", "185.649", "1:45.082"
 "19", "20", "Heikki Kovalainen", "Caterham-Renault", "40", "15:18:34", "185.275", "1:45.294"
 "20", "17", "Jean-Eric Vergne", "STR-Ferrari", "22", "14:43:33", "184.929", "1:45.491"
 "21", "23", "Narain Karthikeyan", "HRT-Cosworth", "42", "15:22:37", "183.370", "1:46.388"
 "22", "25", "Charles Pic", "Marussia-Cosworth", "43", "15:24:00", "182.832", "1:46.701"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "36", "15:11:28", "182.664", "1:46.799"
