"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "7", "Michael Schumacher", "Mercedes", "57", "15:21:17", "209.163", "1:18.725"
 "2", "5", "Fernando Alonso", "Ferrari", "66", "15:32:39", "208.319", "1:19.044"
 "3", "8", "Nico Rosberg", "Mercedes", "59", "15:24:14", "208.158", "1:19.105"
 "4", "14", "Kamui Kobayashi", "Sauber-Ferrari", "61", "15:26:22", "208.011", "1:19.161"
 "5", "6", "Felipe Massa", "Ferrari", "67", "15:35:11", "207.843", "1:19.225"
 "6", "15", "Sergio Perez", "Sauber-Ferrari", "62", "15:27:50", "207.725", "1:19.270"
 "7", "12", "Nico Hulkenberg", "Force India-Mercedes", "56", "15:20:09", "207.458", "1:19.372"
 "8", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "67", "15:34:03", "207.205", "1:19.469"
 "9", "9", "Kimi Räikkönen", "Lotus-Renault", "56", "15:19:37", "207.163", "1:19.485"
 "10", "18", "Pastor Maldonado", "Williams-Renault", "59", "15:24:56", "206.846", "1:19.607"
 "11", "17", "Jean-Eric Vergne", "STR-Ferrari", "59", "15:24:36", "206.747", "1:19.645"
 "12", "11", "Paul di Resta", "Force India-Mercedes", "67", "15:34:59", "206.560", "1:19.717"
 "13", "3", "Jenson Button", "McLaren-Mercedes", "62", "15:27:22", "206.555", "1:19.719"
 "14", "2", "Mark Webber", "Red Bull Racing-Renault", "59", "15:24:07", "206.361", "1:19.794"
 "15", "19", "Bruno Senna", "Williams-Renault", "62", "15:29:25", "206.103", "1:19.894"
 "16", "21", "Vitaly Petrov", "Caterham-Renault", "62", "15:29:24", "205.837", "1:19.997"
 "17", "10", "Romain Grosjean", "Lotus-Renault", "60", "15:27:00", "205.796", "1:20.013"
 "18", "16", "Daniel Ricciardo", "STR-Ferrari", "44", "15:04:16", "205.660", "1:20.066"
 "19", "4", "Lewis Hamilton", "McLaren-Mercedes", "34", "14:51:01", "205.596", "1:20.091"
 "20", "20", "Heikki Kovalainen", "Caterham-Renault", "61", "15:28:50", "204.307", "1:20.596"
 "21", "25", "Charles Pic", "Marussia-Cosworth", "45", "15:06:51", "201.416", "1:21.753"
 "22", "23", "Narain Karthikeyan", "HRT-Cosworth", "55", "15:21:47", "201.330", "1:21.788"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "51", "15:16:05", "199.817", "1:22.407"
 "24", "24", "Timo Glock", "Marussia-Cosworth", "54", "15:20:11", "198.922", "1:22.778"
