"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "68", "15:46:10", "187.453", "1:24.136"
 "2", "15", "Sergio Perez", "Sauber-Ferrari", "65", "15:42:44", "185.073", "1:25.218"
 "3", "2", "Mark Webber", "Red Bull Racing-Renault", "41", "15:07:18", "184.674", "1:25.402"
 "4", "4", "Lewis Hamilton", "McLaren-Mercedes", "65", "15:41:38", "184.082", "1:25.677"
 "5", "18", "Pastor Maldonado", "Williams-Renault", "63", "15:39:50", "183.983", "1:25.723"
 "6", "9", "Kimi Räikkönen", "Lotus-Renault", "41", "15:06:49", "183.972", "1:25.728"
 "7", "5", "Fernando Alonso", "Ferrari", "65", "15:42:04", "183.951", "1:25.738"
 "8", "14", "Kamui Kobayashi", "Sauber-Ferrari", "61", "15:37:13", "183.936", "1:25.745"
 "9", "8", "Nico Rosberg", "Mercedes", "58", "15:32:21", "183.753", "1:25.830"
 "10", "3", "Jenson Button", "McLaren-Mercedes", "58", "15:32:01", "183.751", "1:25.831"
 "11", "6", "Felipe Massa", "Ferrari", "54", "15:26:23", "183.561", "1:25.920"
 "12", "11", "Paul di Resta", "Force India-Mercedes", "57", "15:31:01", "183.441", "1:25.976"
 "13", "10", "Romain Grosjean", "Lotus-Renault", "59", "15:33:08", "183.284", "1:26.050"
 "14", "17", "Jean-Eric Vergne", "STR-Ferrari", "66", "15:45:12", "183.260", "1:26.061"
 "15", "12", "Nico Hulkenberg", "Force India-Mercedes", "60", "15:35:16", "183.235", "1:26.073"
 "16", "19", "Bruno Senna", "Williams-Renault", "65", "15:42:10", "182.863", "1:26.248"
 "17", "16", "Daniel Ricciardo", "STR-Ferrari", "59", "15:34:38", "182.313", "1:26.508"
 "18", "20", "Heikki Kovalainen", "Caterham-Renault", "62", "15:39:59", "182.130", "1:26.595"
 "19", "7", "Michael Schumacher", "Mercedes", "56", "15:30:31", "181.746", "1:26.778"
 "20", "21", "Vitaly Petrov", "Caterham-Renault", "59", "15:35:53", "179.981", "1:27.629"
 "21", "24", "Timo Glock", "Marussia-Cosworth", "55", "15:31:22", "178.316", "1:28.447"
 "22", "25", "Charles Pic", "Marussia-Cosworth", "22", "14:40:15", "177.754", "1:28.727"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "56", "15:32:54", "177.678", "1:28.765"
 "24", "23", "Narain Karthikeyan", "HRT-Cosworth", "56", "15:33:24", "176.207", "1:29.506"
