"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "3", "Jenson Button", "McLaren-Mercedes", "60", "16:34:57", "209.176", "1:28.203"
 "2", "19", "Bruno Senna", "Williams-Renault", "60", "16:35:45", "208.637", "1:28.431"
 "3", "5", "Fernando Alonso", "Ferrari", "60", "16:34:40", "208.168", "1:28.630"
 "4", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "60", "16:34:30", "207.950", "1:28.723"
 "5", "4", "Lewis Hamilton", "McLaren-Mercedes", "58", "16:31:46", "207.433", "1:28.944"
 "6", "2", "Mark Webber", "Red Bull Racing-Renault", "59", "16:33:14", "207.235", "1:29.029"
 "7", "11", "Paul di Resta", "Force India-Mercedes", "59", "16:34:24", "207.103", "1:29.086"
 "8", "14", "Kamui Kobayashi", "Sauber-Ferrari", "51", "16:22:31", "206.829", "1:29.204"
 "9", "7", "Michael Schumacher", "Mercedes", "53", "16:26:36", "206.769", "1:29.230"
 "10", "12", "Nico Hulkenberg", "Force India-Mercedes", "60", "16:35:25", "206.769", "1:29.230"
 "11", "6", "Felipe Massa", "Ferrari", "59", "16:33:45", "206.646", "1:29.283"
 "12", "9", "Kimi Räikkönen", "Lotus-Renault", "54", "16:26:18", "206.482", "1:29.354"
 "13", "16", "Daniel Ricciardo", "STR-Ferrari", "57", "16:31:27", "206.283", "1:29.440"
 "14", "8", "Nico Rosberg", "Mercedes", "59", "16:34:22", "206.163", "1:29.492"
 "15", "10", "Romain Grosjean", "Lotus-Renault", "57", "16:30:57", "206.094", "1:29.522"
 "16", "18", "Pastor Maldonado", "Williams-Renault", "50", "16:21:54", "204.847", "1:30.067"
 "17", "17", "Jean-Eric Vergne", "STR-Ferrari", "59", "16:35:31", "204.792", "1:30.091"
 "18", "20", "Heikki Kovalainen", "Caterham-Renault", "57", "16:32:46", "203.225", "1:30.786"
 "19", "21", "Vitaly Petrov", "Caterham-Renault", "58", "16:34:11", "202.384", "1:31.163"
 "20", "25", "Charles Pic", "Marussia-Cosworth", "55", "16:29:49", "201.935", "1:31.366"
 "21", "24", "Timo Glock", "Marussia-Cosworth", "56", "16:31:52", "201.153", "1:31.721"
 "22", "23", "Narain Karthikeyan", "HRT-Cosworth", "53", "16:27:45", "200.193", "1:32.161"
 "23", "15", "Sergio Perez", "Sauber-Ferrari", "17", "15:30:13", "200.091", "1:32.208"
 "24", "22", "Pedro de la Rosa", "HRT-Cosworth", "39", "16:05:48", "198.677", "1:32.864"
