"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "52", "16:30:45", "218.276", "1:35.774"
 "2", "3", "Jenson Button", "McLaren-Mercedes", "51", "16:29:35", "216.396", "1:36.606"
 "3", "14", "Kamui Kobayashi", "Sauber-Ferrari", "52", "16:31:10", "216.233", "1:36.679"
 "4", "19", "Bruno Senna", "Williams-Renault", "44", "16:19:06", "215.920", "1:36.819"
 "5", "6", "Felipe Massa", "Ferrari", "50", "16:27:51", "215.753", "1:36.894"
 "6", "7", "Michael Schumacher", "Mercedes", "43", "16:17:13", "215.646", "1:36.942"
 "7", "2", "Mark Webber", "Red Bull Racing-Renault", "49", "16:26:48", "215.233", "1:37.128"
 "8", "16", "Daniel Ricciardo", "STR-Ferrari", "50", "16:28:36", "214.511", "1:37.455"
 "9", "17", "Jean-Eric Vergne", "STR-Ferrari", "39", "16:10:52", "214.339", "1:37.533"
 "10", "11", "Paul di Resta", "Force India-Mercedes", "48", "16:25:34", "214.335", "1:37.535"
 "11", "4", "Lewis Hamilton", "McLaren-Mercedes", "45", "16:20:03", "213.842", "1:37.760"
 "12", "18", "Pastor Maldonado", "Williams-Renault", "45", "16:20:11", "213.818", "1:37.771"
 "13", "9", "Kimi Räikkönen", "Lotus-Renault", "49", "16:26:41", "213.566", "1:37.886"
 "14", "12", "Nico Hulkenberg", "Force India-Mercedes", "46", "16:21:48", "213.453", "1:37.938"
 "15", "20", "Heikki Kovalainen", "Caterham-Renault", "52", "16:33:03", "213.224", "1:38.043"
 "16", "10", "Romain Grosjean", "Lotus-Renault", "32", "15:59:22", "212.717", "1:38.277"
 "17", "21", "Vitaly Petrov", "Caterham-Renault", "47", "16:25:24", "212.572", "1:38.344"
 "18", "24", "Timo Glock", "Marussia-Cosworth", "48", "16:26:33", "211.685", "1:38.756"
 "19", "15", "Sergio Perez", "Sauber-Ferrari", "17", "15:33:37", "211.199", "1:38.983"
 "20", "22", "Pedro de la Rosa", "HRT-Cosworth", "50", "16:30:39", "210.417", "1:39.351"
 "21", "25", "Charles Pic", "Marussia-Cosworth", "34", "16:03:55", "208.026", "1:40.493"
 "22", "23", "Narain Karthikeyan", "HRT-Cosworth", "21", "15:41:17", "206.190", "1:41.388"
