"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "2", "Mark Webber", "Red Bull Racing-Renault", "54", "16:38:24", "198.104", "1:42.037"
 "2", "6", "Felipe Massa", "Ferrari", "48", "16:28:15", "197.707", "1:42.242"
 "3", "5", "Fernando Alonso", "Ferrari", "52", "16:35:03", "197.321", "1:42.442"
 "4", "15", "Sergio Perez", "Sauber-Ferrari", "49", "16:30:55", "197.219", "1:42.495"
 "5", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "55", "16:39:59", "197.211", "1:42.499"
 "6", "12", "Nico Hulkenberg", "Force India-Mercedes", "54", "16:39:00", "196.931", "1:42.645"
 "7", "18", "Pastor Maldonado", "Williams-Renault", "55", "16:41:34", "196.865", "1:42.679"
 "8", "17", "Jean-Eric Vergne", "STR-Ferrari", "48", "16:29:04", "196.785", "1:42.721"
 "9", "4", "Lewis Hamilton", "McLaren-Mercedes", "49", "16:30:47", "196.785", "1:42.721"
 "10", "10", "Romain Grosjean", "Lotus-Renault", "44", "16:21:52", "196.666", "1:42.783"
 "11", "9", "Kimi Räikkönen", "Lotus-Renault", "51", "16:33:43", "196.592", "1:42.822"
 "12", "16", "Daniel Ricciardo", "STR-Ferrari", "45", "16:23:44", "195.970", "1:43.148"
 "13", "7", "Michael Schumacher", "Mercedes", "49", "16:31:04", "195.902", "1:43.184"
 "14", "19", "Bruno Senna", "Williams-Renault", "49", "16:31:13", "195.472", "1:43.411"
 "15", "11", "Paul di Resta", "Force India-Mercedes", "48", "16:29:09", "195.272", "1:43.517"
 "16", "25", "Charles Pic", "Marussia-Cosworth", "52", "16:38:15", "193.505", "1:44.462"
 "17", "20", "Heikki Kovalainen", "Caterham-Renault", "43", "16:21:36", "192.596", "1:44.955"
 "18", "21", "Vitaly Petrov", "Caterham-Renault", "50", "16:34:00", "192.490", "1:45.013"
 "19", "24", "Timo Glock", "Marussia-Cosworth", "42", "16:19:53", "192.082", "1:45.236"
 "20", "14", "Kamui Kobayashi", "Sauber-Ferrari", "3", "15:10:07", "188.799", "1:47.066"
 "21", "23", "Narain Karthikeyan", "HRT-Cosworth", "39", "16:15:46", "188.795", "1:47.068"
 "22", "22", "Pedro de la Rosa", "HRT-Cosworth", "9", "15:20:20", "183.996", "1:49.861"
