"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "9", "Kimi Räikkönen", "Lotus-Renault", "53", "18:43:46", "198.117", "1:40.722"
 "2", "2", "Mark Webber", "Red Bull Racing-Renault", "52", "18:41:51", "197.539", "1:41.017"
 "3", "15", "Sergio Perez", "Sauber-Ferrari", "54", "18:44:58", "197.531", "1:41.021"
 "4", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "50", "18:39:12", "196.905", "1:41.342"
 "5", "19", "Bruno Senna", "Williams-Renault", "55", "18:47:16", "196.785", "1:41.404"
 "6", "4", "Lewis Hamilton", "McLaren-Mercedes", "50", "18:38:23", "196.523", "1:41.539"
 "7", "5", "Fernando Alonso", "Ferrari", "53", "18:43:14", "196.250", "1:41.680"
 "8", "16", "Daniel Ricciardo", "STR-Ferrari", "54", "18:46:10", "196.104", "1:41.756"
 "9", "7", "Michael Schumacher", "Mercedes", "53", "18:44:04", "196.096", "1:41.760"
 "10", "11", "Paul di Resta", "Force India-Mercedes", "55", "18:47:20", "195.983", "1:41.819"
 "11", "8", "Nico Rosberg", "Mercedes", "51", "18:41:06", "195.898", "1:41.863"
 "12", "17", "Jean-Eric Vergne", "STR-Ferrari", "55", "18:47:24", "195.785", "1:41.922"
 "13", "6", "Felipe Massa", "Ferrari", "56", "18:49:57", "195.537", "1:42.051"
 "14", "3", "Jenson Button", "McLaren-Mercedes", "50", "18:39:23", "195.443", "1:42.100"
 "15", "12", "Nico Hulkenberg", "Force India-Mercedes", "51", "18:40:36", "195.304", "1:42.173"
 "16", "18", "Pastor Maldonado", "Williams-Renault", "51", "18:40:36", "195.181", "1:42.237"
 "17", "21", "Vitaly Petrov", "Caterham-Renault", "52", "18:43:21", "192.775", "1:43.513"
 "18", "20", "Heikki Kovalainen", "Caterham-Renault", "54", "18:47:34", "192.237", "1:43.803"
 "19", "14", "Kamui Kobayashi", "Sauber-Ferrari", "44", "18:28:54", "191.501", "1:44.202"
 "20", "24", "Timo Glock", "Marussia-Cosworth", "50", "18:40:23", "190.486", "1:44.757"
 "21", "25", "Charles Pic", "Marussia-Cosworth", "50", "18:41:20", "190.384", "1:44.813"
 "22", "23", "Narain Karthikeyan", "HRT-Cosworth", "52", "18:46:03", "188.414", "1:45.909"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "54", "18:49:51", "187.820", "1:46.244"
 "24", "10", "Romain Grosjean", "Lotus-Renault", "2", "16:07:56", "155.333", "2:08.464"
