"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "15", "Sergio Perez", "Sauber-Ferrari", "49", "15:11:11", "155.557", "1:17.296"
 "2", "12", "Nico Hulkenberg", "Force India-Mercedes", "35", "14:52:01", "153.322", "1:18.423"
 "3", "2", "Mark Webber", "Red Bull Racing-Renault", "45", "15:04:43", "152.579", "1:18.805"
 "4", "4", "Lewis Hamilton", "McLaren-Mercedes", "46", "15:06:07", "152.577", "1:18.806"
 "5", "5", "Fernando Alonso", "Ferrari", "45", "15:04:46", "152.478", "1:18.857"
 "6", "7", "Michael Schumacher", "Mercedes", "52", "15:14:29", "152.387", "1:18.904"
 "7", "8", "Nico Rosberg", "Mercedes", "46", "15:06:04", "152.246", "1:18.977"
 "8", "17", "Jean-Eric Vergne", "STR-Ferrari", "25", "14:38:32", "152.177", "1:19.013"
 "9", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "43", "15:01:48", "152.056", "1:19.076"
 "10", "6", "Felipe Massa", "Ferrari", "41", "14:59:32", "152.008", "1:19.101"
 "11", "19", "Bruno Senna", "Williams-Renault", "51", "15:13:26", "151.843", "1:19.187"
 "12", "9", "Kimi Räikkönen", "Lotus-Renault", "51", "15:13:25", "151.730", "1:19.246"
 "13", "20", "Heikki Kovalainen", "Caterham-Renault", "76", "15:48:33", "151.617", "1:19.305"
 "14", "25", "Charles Pic", "Marussia-Cosworth", "61", "15:27:34", "151.047", "1:19.604"
 "15", "24", "Timo Glock", "Marussia-Cosworth", "60", "15:26:37", "150.985", "1:19.637"
 "16", "16", "Daniel Ricciardo", "STR-Ferrari", "44", "15:04:17", "150.767", "1:19.752"
 "17", "11", "Paul di Resta", "Force India-Mercedes", "51", "15:13:21", "150.757", "1:19.757"
 "18", "3", "Jenson Button", "McLaren-Mercedes", "51", "15:13:37", "150.444", "1:19.923"
 "19", "23", "Narain Karthikeyan", "HRT-Cosworth", "44", "15:05:06", "149.764", "1:20.286"
 "20", "21", "Vitaly Petrov", "Caterham-Renault", "12", "14:21:14", "148.765", "1:20.825"
 "21", "14", "Kamui Kobayashi", "Sauber-Ferrari", "4", "14:09:55", "140.664", "1:25.480"
