"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "10", "Romain Grosjean", "Lotus-Renault", "53", "15:23:55", "194.295", "1:26.250"
 "2", "9", "Kimi Räikkönen", "Lotus-Renault", "50", "15:19:15", "192.758", "1:26.938"
 "3", "5", "Fernando Alonso", "Ferrari", "46", "15:13:01", "191.761", "1:27.390"
 "4", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "65", "15:42:10", "190.935", "1:27.768"
 "5", "2", "Mark Webber", "Red Bull Racing-Renault", "44", "15:11:16", "190.741", "1:27.857"
 "6", "18", "Pastor Maldonado", "Williams-Renault", "26", "14:43:01", "190.635", "1:27.906"
 "7", "8", "Nico Rosberg", "Mercedes", "45", "15:12:21", "190.107", "1:28.150"
 "8", "14", "Kamui Kobayashi", "Sauber-Ferrari", "45", "15:12:23", "189.857", "1:28.266"
 "9", "17", "Jean-Eric Vergne", "STR-Ferrari", "54", "15:26:08", "189.767", "1:28.308"
 "10", "11", "Paul di Resta", "Force India-Mercedes", "44", "15:11:24", "189.756", "1:28.313"
 "11", "6", "Felipe Massa", "Ferrari", "47", "15:15:51", "189.467", "1:28.448"
 "12", "16", "Daniel Ricciardo", "STR-Ferrari", "44", "15:11:17", "189.169", "1:28.587"
 "13", "15", "Sergio Perez", "Sauber-Ferrari", "20", "14:34:57", "189.131", "1:28.605"
 "14", "3", "Jenson Button", "McLaren-Mercedes", "41", "15:06:33", "189.090", "1:28.624"
 "15", "20", "Heikki Kovalainen", "Caterham-Renault", "50", "15:20:49", "188.897", "1:28.715"
 "16", "21", "Vitaly Petrov", "Caterham-Renault", "48", "15:18:04", "188.773", "1:28.773"
 "17", "12", "Nico Hulkenberg", "Force India-Mercedes", "48", "15:17:10", "188.478", "1:28.912"
 "18", "4", "Lewis Hamilton", "McLaren-Mercedes", "50", "15:19:54", "188.465", "1:28.918"
 "19", "24", "Timo Glock", "Marussia-Cosworth", "49", "15:20:03", "187.033", "1:29.599"
 "20", "22", "Pedro de la Rosa", "HRT-Cosworth", "54", "15:29:24", "184.718", "1:30.722"
 "21", "7", "Michael Schumacher", "Mercedes", "4", "14:09:36", "183.973", "1:31.089"
 "22", "25", "Charles Pic", "Marussia-Cosworth", "29", "14:49:17", "183.879", "1:31.136"
 "23", "19", "Bruno Senna", "Williams-Renault", "10", "14:18:59", "182.505", "1:31.822"
 "24", "23", "Narain Karthikeyan", "HRT-Cosworth", "15", "14:27:32", "180.381", "1:32.903"
