"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "56", "14:39:25", "199.772", "1:39.347"
 "2", "6", "Felipe Massa", "Ferrari", "56", "14:40:10", "199.661", "1:39.402"
 "3", "9", "Kimi Räikkönen", "Lotus-Renault", "56", "14:40:28", "199.517", "1:39.474"
 "4", "5", "Fernando Alonso", "Ferrari", "56", "14:40:03", "199.121", "1:39.672"
 "5", "4", "Lewis Hamilton", "McLaren-Mercedes", "55", "14:37:43", "199.047", "1:39.709"
 "6", "3", "Jenson Button", "McLaren-Mercedes", "54", "14:36:57", "198.170", "1:40.150"
 "7", "14", "Kamui Kobayashi", "Sauber-Ferrari", "55", "14:39:36", "197.844", "1:40.315"
 "8", "8", "Nico Rosberg", "Mercedes", "51", "14:32:24", "197.622", "1:40.428"
 "9", "11", "Paul di Resta", "Force India-Mercedes", "55", "14:39:46", "197.296", "1:40.594"
 "10", "10", "Romain Grosjean", "Lotus-Renault", "55", "14:38:53", "197.235", "1:40.625"
 "11", "15", "Sergio Perez", "Sauber-Ferrari", "53", "14:35:43", "197.086", "1:40.701"
 "12", "18", "Pastor Maldonado", "Williams-Renault", "53", "14:35:33", "197.051", "1:40.719"
 "13", "19", "Bruno Senna", "Williams-Renault", "53", "14:35:34", "197.000", "1:40.745"
 "14", "16", "Daniel Ricciardo", "STR-Ferrari", "53", "14:35:44", "196.947", "1:40.772"
 "15", "7", "Michael Schumacher", "Mercedes", "54", "14:38:06", "196.652", "1:40.923"
 "16", "12", "Nico Hulkenberg", "Force India-Mercedes", "53", "14:35:32", "196.409", "1:41.048"
 "17", "25", "Charles Pic", "Marussia-Cosworth", "54", "14:39:40", "193.663", "1:42.481"
 "18", "21", "Vitaly Petrov", "Caterham-Renault", "55", "14:40:43", "193.017", "1:42.824"
 "19", "20", "Heikki Kovalainen", "Caterham-Renault", "50", "14:32:05", "192.552", "1:43.072"
 "20", "24", "Timo Glock", "Marussia-Cosworth", "40", "14:14:45", "192.083", "1:43.324"
 "21", "2", "Mark Webber", "Red Bull Racing-Renault", "13", "13:26:17", "191.573", "1:43.599"
 "22", "23", "Narain Karthikeyan", "HRT-Cosworth", "51", "14:35:26", "189.906", "1:44.508"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "43", "14:21:17", "189.623", "1:44.664"
 "24", "17", "Jean-Eric Vergne", "STR-Ferrari", "12", "13:25:07", "189.423", "1:44.775"
