"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "7", "Kimi Räikkönen", "Lotus-Renault", "56", "18:30:24", "213.845", "1:29.274"
 "2", "18", "Jean-Eric Vergne", "STR-Ferrari", "50", "18:22:33", "213.309", "1:29.498"
 "3", "3", "Fernando Alonso", "Ferrari", "53", "18:26:01", "213.162", "1:29.560"
 "4", "2", "Mark Webber", "Red Bull Racing-Renault", "45", "18:14:32", "212.753", "1:29.732"
 "5", "10", "Lewis Hamilton", "Mercedes", "45", "18:14:31", "212.689", "1:29.759"
 "6", "6", "Sergio Perez", "McLaren-Mercedes", "46", "18:16:34", "212.294", "1:29.926"
 "7", "5", "Jenson Button", "McLaren-Mercedes", "41", "18:08:47", "211.654", "1:30.198"
 "8", "4", "Felipe Massa", "Ferrari", "38", "18:03:28", "211.558", "1:30.239"
 "9", "8", "Romain Grosjean", "Lotus-Renault", "41", "18:08:49", "211.193", "1:30.395"
 "10", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "42", "18:09:30", "211.160", "1:30.409"
 "11", "22", "Jules Bianchi", "Marussia-Cosworth", "52", "18:27:12", "211.055", "1:30.454"
 "12", "17", "Valtteri Bottas", "Williams-Renault", "42", "18:10:59", "210.594", "1:30.652"
 "13", "15", "Adrian Sutil", "Force India-Mercedes", "49", "18:20:29", "210.459", "1:30.710"
 "14", "19", "Daniel Ricciardo", "STR-Ferrari", "33", "17:56:30", "210.063", "1:30.881"
 "15", "14", "Paul di Resta", "Force India-Mercedes", "56", "18:31:29", "210.033", "1:30.894"
 "16", "12", "Esteban Gutierrez", "Sauber-Ferrari", "32", "17:55:06", "208.836", "1:31.415"
 "17", "23", "Max Chilton", "Marussia-Cosworth", "49", "18:23:18", "207.036", "1:32.210"
 "18", "9", "Nico Rosberg", "Mercedes", "18", "17:32:13", "206.926", "1:32.259"
 "19", "20", "Charles Pic", "Caterham-Renault", "55", "18:32:08", "206.921", "1:32.261"
 "20", "21", "Giedo van der Garde", "Caterham-Renault", "39", "18:07:39", "206.084", "1:32.636"
 "21", "16", "Pastor Maldonado", "Williams-Renault", "12", "17:23:08", "205.465", "1:32.915"
