"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "55", "16:36:49", "200.938", "1:36.961"
 "2", "15", "Adrian Sutil", "Force India-Mercedes", "44", "16:20:06", "200.712", "1:37.070"
 "3", "3", "Fernando Alonso", "Ferrari", "41", "16:14:21", "200.436", "1:37.204"
 "4", "9", "Nico Rosberg", "Mercedes", "48", "16:26:05", "199.647", "1:37.588"
 "5", "8", "Romain Grosjean", "Lotus-Renault", "52", "16:32:14", "199.567", "1:37.627"
 "6", "5", "Jenson Button", "McLaren-Mercedes", "49", "16:27:48", "199.330", "1:37.743"
 "7", "6", "Sergio Perez", "McLaren-Mercedes", "41", "16:14:20", "198.984", "1:37.913"
 "8", "7", "Kimi Räikkönen", "Lotus-Renault", "57", "16:40:17", "198.476", "1:38.164"
 "9", "17", "Valtteri Bottas", "Williams-Renault", "57", "16:41:29", "198.419", "1:38.192"
 "10", "12", "Esteban Gutierrez", "Sauber-Ferrari", "45", "16:22:10", "198.399", "1:38.202"
 "11", "10", "Lewis Hamilton", "Mercedes", "48", "16:25:50", "198.395", "1:38.204"
 "12", "14", "Paul di Resta", "Force India-Mercedes", "57", "16:40:29", "198.128", "1:38.336"
 "13", "2", "Mark Webber", "Red Bull Racing-Renault", "52", "16:32:24", "197.684", "1:38.557"
 "14", "22", "Jules Bianchi", "Marussia-Cosworth", "50", "16:31:02", "197.286", "1:38.756"
 "15", "11", "Nico Hulkenberg", "Sauber-Ferrari", "43", "16:18:08", "197.258", "1:38.770"
 "16", "4", "Felipe Massa", "Ferrari", "42", "16:16:22", "197.120", "1:38.839"
 "17", "16", "Pastor Maldonado", "Williams-Renault", "57", "16:41:14", "196.875", "1:38.962"
 "18", "23", "Max Chilton", "Marussia-Cosworth", "50", "16:31:09", "196.246", "1:39.279"
 "19", "21", "Giedo van der Garde", "Caterham-Renault", "49", "16:30:57", "196.138", "1:39.334"
 "20", "20", "Charles Pic", "Caterham-Renault", "37", "16:08:29", "195.720", "1:39.546"
 "21", "19", "Daniel Ricciardo", "STR-Ferrari", "51", "16:31:49", "195.655", "1:39.579"
 "22", "18", "Jean-Eric Vergne", "STR-Ferrari", "4", "15:13:12", "188.960", "1:43.107"
