"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "2", "Mark Webber", "Red Bull Racing-Renault", "52", "14:36:37", "227.059", "1:33.401"
 "2", "9", "Nico Rosberg", "Mercedes", "50", "14:33:28", "226.744", "1:33.531"
 "3", "3", "Fernando Alonso", "Ferrari", "50", "14:33:34", "225.396", "1:34.090"
 "4", "10", "Lewis Hamilton", "Mercedes", "51", "14:35:09", "225.231", "1:34.159"
 "5", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "37", "14:09:32", "223.195", "1:35.018"
 "6", "4", "Felipe Massa", "Ferrari", "51", "14:35:15", "222.598", "1:35.273"
 "7", "14", "Paul di Resta", "Force India-Mercedes", "52", "14:36:54", "222.465", "1:35.330"
 "8", "7", "Kimi Räikkönen", "Lotus-Renault", "49", "14:31:59", "222.339", "1:35.384"
 "9", "8", "Romain Grosjean", "Lotus-Renault", "48", "14:30:28", "221.804", "1:35.614"
 "10", "16", "Pastor Maldonado", "Williams-Renault", "52", "14:36:57", "221.126", "1:35.907"
 "11", "19", "Daniel Ricciardo", "STR-Ferrari", "37", "14:09:53", "221.080", "1:35.927"
 "12", "15", "Adrian Sutil", "Force India-Mercedes", "35", "14:06:40", "221.002", "1:35.961"
 "13", "11", "Nico Hulkenberg", "Sauber-Ferrari", "48", "14:30:30", "220.882", "1:36.013"
 "14", "6", "Sergio Perez", "McLaren-Mercedes", "37", "14:09:57", "220.611", "1:36.131"
 "15", "17", "Valtteri Bottas", "Williams-Renault", "52", "14:37:01", "220.196", "1:36.312"
 "16", "5", "Jenson Button", "McLaren-Mercedes", "39", "14:13:14", "220.096", "1:36.356"
 "17", "12", "Esteban Gutierrez", "Sauber-Ferrari", "32", "14:02:29", "219.906", "1:36.439"
 "18", "20", "Charles Pic", "Caterham-Renault", "52", "14:37:08", "218.430", "1:37.091"
 "19", "22", "Jules Bianchi", "Marussia-Cosworth", "51", "14:35:34", "216.452", "1:37.978"
 "20", "18", "Jean-Eric Vergne", "STR-Ferrari", "30", "13:58:56", "215.590", "1:38.370"
 "21", "21", "Giedo van der Garde", "Caterham-Renault", "50", "14:34:23", "214.821", "1:38.722"
 "22", "23", "Max Chilton", "Marussia-Cosworth", "50", "14:34:24", "213.881", "1:39.156"
