"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "10", "Lewis Hamilton", "Mercedes", "51", "15:19:52", "242.924", "1:25.849"
 "2", "9", "Nico Rosberg", "Mercedes", "50", "15:18:04", "241.095", "1:26.500"
 "3", "2", "Mark Webber", "Red Bull Racing-Renault", "53", "15:22:19", "240.567", "1:26.690"
 "4", "11", "Nico Hulkenberg", "Sauber-Ferrari", "48", "15:15:09", "240.495", "1:26.716"
 "5", "3", "Fernando Alonso", "Ferrari", "52", "15:20:51", "240.270", "1:26.797"
 "6", "7", "Kimi Räikkönen", "Lotus-Renault", "45", "15:11:09", "239.853", "1:26.948"
 "7", "16", "Pastor Maldonado", "Williams-Renault", "51", "15:20:08", "239.762", "1:26.981"
 "8", "8", "Romain Grosjean", "Lotus-Renault", "52", "15:21:18", "239.591", "1:27.043"
 "9", "12", "Esteban Gutierrez", "Sauber-Ferrari", "53", "15:22:54", "239.457", "1:27.092"
 "10", "4", "Felipe Massa", "Ferrari", "48", "15:15:06", "239.448", "1:27.095"
 "11", "17", "Valtteri Bottas", "Williams-Renault", "53", "15:23:10", "239.253", "1:27.166"
 "12", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "52", "15:20:44", "239.187", "1:27.190"
 "13", "19", "Daniel Ricciardo", "STR-Ferrari", "52", "15:21:18", "238.903", "1:27.294"
 "14", "15", "Adrian Sutil", "Force India-Mercedes", "38", "15:00:53", "238.564", "1:27.418"
 "15", "6", "Sergio Perez", "McLaren-Mercedes", "44", "15:09:39", "238.049", "1:27.607"
 "16", "5", "Jenson Button", "McLaren-Mercedes", "46", "15:12:33", "237.445", "1:27.830"
 "17", "20", "Charles Pic", "Caterham-Renault", "52", "15:22:57", "235.328", "1:28.620"
 "18", "21", "Giedo van der Garde", "Caterham-Renault", "52", "15:23:12", "235.214", "1:28.663"
 "19", "23", "Max Chilton", "Marussia-Cosworth", "48", "15:17:23", "233.037", "1:29.491"
 "20", "22", "Jules Bianchi", "Marussia-Cosworth", "47", "15:15:50", "232.767", "1:29.595"
 "21", "18", "Jean-Eric Vergne", "STR-Ferrari", "14", "14:24:51", "232.469", "1:29.710"
