"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "46", "21:35:33", "167.940", "1:48.574"
 "2", "15", "Adrian Sutil", "Force India-Mercedes", "43", "21:30:39", "166.283", "1:49.656"
 "3", "2", "Mark Webber", "Red Bull Racing-Renault", "51", "21:45:16", "166.091", "1:49.783"
 "4", "10", "Lewis Hamilton", "Mercedes", "59", "22:00:24", "165.890", "1:49.916"
 "5", "18", "Jean-Eric Vergne", "STR-Ferrari", "45", "21:34:17", "165.270", "1:50.328"
 "6", "9", "Nico Rosberg", "Mercedes", "51", "21:45:19", "165.233", "1:50.353"
 "7", "4", "Felipe Massa", "Ferrari", "45", "21:34:16", "165.000", "1:50.509"
 "8", "16", "Pastor Maldonado", "Williams-Renault", "46", "21:36:21", "164.703", "1:50.708"
 "9", "14", "Paul di Resta", "Force India-Mercedes", "45", "21:34:15", "164.657", "1:50.739"
 "10", "20", "Charles Pic", "Caterham-Renault", "58", "22:00:04", "164.285", "1:50.990"
 "11", "3", "Fernando Alonso", "Ferrari", "44", "21:31:57", "164.149", "1:51.082"
 "12", "8", "Romain Grosjean", "Lotus-Renault", "35", "21:16:17", "164.126", "1:51.097"
 "13", "7", "Kimi Räikkönen", "Lotus-Renault", "55", "21:52:41", "164.063", "1:51.140"
 "14", "17", "Valtteri Bottas", "Williams-Renault", "53", "21:49:51", "163.232", "1:51.706"
 "15", "5", "Jenson Button", "McLaren-Mercedes", "46", "21:35:46", "163.182", "1:51.740"
 "16", "6", "Sergio Perez", "McLaren-Mercedes", "46", "21:35:49", "162.911", "1:51.926"
 "17", "12", "Esteban Gutierrez", "Sauber-Ferrari", "37", "21:19:02", "162.793", "1:52.007"
 "18", "11", "Nico Hulkenberg", "Sauber-Ferrari", "47", "21:37:43", "162.533", "1:52.186"
 "19", "21", "Giedo van der Garde", "Caterham-Renault", "44", "21:33:05", "162.120", "1:52.472"
 "20", "22", "Jules Bianchi", "Marussia-Cosworth", "45", "21:35:08", "161.508", "1:52.898"
 "21", "23", "Max Chilton", "Marussia-Cosworth", "50", "21:44:35", "161.304", "1:53.041"
 "22", "19", "Daniel Ricciardo", "STR-Ferrari", "23", "20:48:46", "161.288", "1:53.052"
